,congress_number,state,census,start,end,cd_num,population,percent_white,percent_black,percent_aapi,percent_aind,percent_hisp,percent_white_nh,percent_black_nh,percent_aapi_nh
196,117,PA,2010,2021,2023,6,705688,81.76,6.55,3.24,0.26,12.86,76.36,5.91,3.2
197,117,PA,2010,2021,2023,7,705688,82.19,6.05,2.71,0.29,14.63,75.81,5.12,2.66
198,117,PA,2010,2021,2023,8,705687,88.41,5.16,1.36,0.22,7.67,84.86,4.66,1.33
199,117,PA,2010,2021,2023,9,705687,93.9,2.22,0.84,0.15,4.35,91.77,2.02,0.82
200,117,PA,2010,2021,2023,10,705688,81.19,10.69,2.77,0.22,6.32,78.56,10.13,2.73
201,117,PA,2010,2021,2023,11,705688,90.21,3.26,1.63,0.21,6.98,87.16,2.82,1.6
202,117,PA,2010,2021,2023,12,705688,94.51,2.1,1.39,0.18,1.89,93.46,1.98,1.37
203,117,PA,2010,2021,2023,13,705688,94.44,2.5,0.59,0.15,2.54,93.21,2.4,0.58
204,117,PA,2010,2021,2023,14,705688,94.38,3.21,0.64,0.11,0.96,93.8,3.17,0.64
205,117,PA,2010,2021,2023,15,705688,96.21,1.83,0.62,0.13,1.16,95.56,1.77,0.61
206,117,PA,2010,2021,2023,16,705687,92.04,4.73,0.85,0.16,1.97,90.97,4.6,0.84
207,117,PA,2010,2021,2023,17,705688,90.45,5.46,2.16,0.11,1.31,89.57,5.41,2.15
208,117,PA,2010,2021,2023,18,705688,75.25,19.01,2.89,0.16,1.72,74.34,18.8,2.87
209,118,PA,2020,2023,2025,1,764866,81.12,4.12,6.35,0.18,6.07,79.86,3.95,6.31
210,118,PA,2020,2023,2025,2,764865,40.61,25.53,9.63,0.48,24.68,37.42,24.15,9.5
211,118,PA,2020,2023,2025,3,764864,33.14,51.31,6.98,0.31,5.96,32.22,50.56,6.92
212,118,PA,2020,2023,2025,4,764865,77.29,8.24,6.08,0.18,5.83,76.13,7.97,6.04
213,118,PA,2020,2023,2025,5,764866,59.01,24.81,7.14,0.26,6.3,58.11,24.41,7.11
214,118,PA,2020,2023,2025,6,764864,72.06,6.03,5.16,0.42,16.36,69.23,5.45,5.12
215,118,PA,2020,2023,2025,7,764865,72.24,6.35,3.23,0.33,19.12,68.58,5.46,3.16
216,118,PA,2020,2023,2025,8,764866,77.11,7.03,2.11,0.31,13.15,74.63,6.31,2.06
217,118,PA,2020,2023,2025,9,764864,89.0,2.52,0.96,0.18,5.79,87.56,2.32,0.94
218,118,PA,2020,2023,2025,10,764864,73.05,10.77,4.61,0.26,9.47,71.23,10.14,4.56
219,118,PA,2020,2023,2025,11,764864,83.69,3.83,2.21,0.23,9.21,81.81,3.42,2.17
220,118,PA,2020,2023,2025,12,764864,73.54,15.27,4.58,0.17,2.76,72.88,15.08,4.55
221,118,PA,2020,2023,2025,13,764864,90.48,2.53,0.72,0.19,3.65,89.63,2.43,0.7
222,118,PA,2020,2023,2025,14,764866,90.86,3.35,0.68,0.14,1.59,90.38,3.29,0.68
223,118,PA,2020,2023,2025,15,764864,91.3,2.03,1.94,0.15,2.19,90.45,1.94,1.93
224,118,PA,2020,2023,2025,16,764865,87.82,4.53,1.41,0.15,2.67,87.02,4.38,1.4
225,118,PA,2020,2023,2025,17,764864,82.49,7.81,3.52,0.13,2.41,81.9,7.71,3.5
